[2026-03-07T21:14:14.654+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-02T01:46:19+00:00 [queued]>
[2026-03-07T21:14:14.677+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-02T01:46:19+00:00 [queued]>
[2026-03-07T21:14:14.678+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-03-07T21:14:14.717+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): stream_processing> on 2026-03-02 01:46:19+00:00
[2026-03-07T21:14:14.725+0000] {standard_task_runner.py:60} INFO - Started process 426 to run task
[2026-03-07T21:14:14.732+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'insurance_claims_pipeline', 'stream_processing', 'manual__2026-03-02T01:46:19+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/insurance_claims_pipeline.py', '--cfg-path', '/tmp/tmp8n5ydu23']
[2026-03-07T21:14:14.736+0000] {standard_task_runner.py:88} INFO - Job 5: Subtask stream_processing
[2026-03-07T21:14:27.300+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:27 [debug    ] Lineage event recorded         claim_id=CLM-D8A703CC2536 latency_ms=0.4010200500488281 source=tx_fraud_detection target=tx_enrichment
[2026-03-07T21:14:27.303+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:27 [info     ] Claim enriched                 claim_id=CLM-D8A703CC2536 fields=['policy', 'claimant_history', 'geo_risk', 'category_analysis', 'adjuster_recommendation', 'reserve_estimate'] latency_ms=0.4
[2026-03-07T21:14:27.316+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:27 [debug    ] Stored to S3                   key=enriched/2026/03/07/CLM-D8A703CC2536.json
[2026-03-07T21:14:27.358+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:27 [debug    ] Lineage event recorded         claim_id=CLM-D8A703CC2536 latency_ms=170.8204746246338 source=tx_enrichment target=sink_s3_datalake
[2026-03-07T21:14:27.412+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:27 [debug    ] Stored to PostgreSQL           claim_id=CLM-D8A703CC2536
[2026-03-07T21:14:27.618+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:27 [debug    ] Lineage event recorded         claim_id=CLM-D8A703CC2536 latency_ms=0 source=tx_enrichment target=sink_postgres
[2026-03-07T21:14:28.123+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Lineage event recorded         claim_id=CLM-DAE3A2E9B068 latency_ms=4.528999328613281 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:14:28.126+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [info     ] Claim validated                claim_id=CLM-DAE3A2E9B068 errors=1 latency_ms=4.53 valid=False
[2026-03-07T21:14:28.160+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Stored to S3                   key=rejected/2026/03/07/CLM-DAE3A2E9B068.json
[2026-03-07T21:14:28.244+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Lineage event recorded         claim_id=CLM-DAC48E9B2C08 latency_ms=0.2834796905517578 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:14:28.247+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [info     ] Claim validated                claim_id=CLM-DAC48E9B2C08 errors=0 latency_ms=0.28 valid=True
[2026-03-07T21:14:28.272+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Stored to S3                   key=validated/2026/03/07/CLM-DAC48E9B2C08.json
[2026-03-07T21:14:28.323+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Lineage event recorded         claim_id=CLM-DAC48E9B2C08 latency_ms=0.32782554626464844 source=tx_validation target=tx_fraud_detection
